Season,Total Songs,Likes,Dislikes,Total Views,Average Likes,Average Dislikes,Average Views,LD Ratio,LV Ratio,DV Ration
1,22,62423,2367,12533435,2837.409091,107.5909091,569701.5909,0.037918716,0.004980518,0.000188855
2,28,269875,9697,58473401,9995,359,2165681.519,0.03593145,0.004615346,0.000165836
3,25,286936,15213,79654588,11477,608.52,3186183.52,0.053018792,0.003602253,0.000190987
4,22,262488,10869,51650125,11931,494.0454545,2347732.955,0.041407607,0.00508204,0.000210435
5,26,350115,13593,61554989,13466,523,2367499.577,0.038824386,0.005687841,0.000220827
6,18,231149,8660,35862589,12842,481.1111111,1992366.056,0.037465012,0.006445407,0.000241477
7,28,280317,9803,44350234,10011,350.1071429,1583936.929,0.034971122,0.00632053,0.000221036
8,29,2331877,148090,357354335,80410,5106.551724,12322563.28,0.06350678,0.006525392,0.000414407
9,31,3633660,175351,584654101,117215,5656,18859809.71,0.048257404,0.006215059,0.000299923
10,29,1433107,74142,157320574,49417,2557,5424847.379,0.051735146,0.00910947,0.00047128
11,37,1429027,236735,102201146,38622,6398,2762193.135,0.16566167,0.013982495,0.002316363
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Producer,Total Songs,Likes,Dislikes,Total Views,Average Likes,Average Dislikes,Average Views,LD Ratio,LV Ratio,DV Ration
Rohail Hyatt,141,1462986,60399,299729127,10375.78723,428.3617021,2125738.489,0.041284742,0.004881027,0.000201512
Strings,117,7678961,407386,1143679244,65632.1453,3481.931624,9775036.274,0.053052229,0.006714261,0.000356207
"Ali Hamza, Zohaib Kazi",37,1429027,236735,102201146,38622,6398,2762193.135,0.16566167,0.013982495,0.002316363
